Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H5CH2-1+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           13.6    3.30623e+13    2.60972e+14    7.63812e+16
           13.7    3.58484e+13    2.63146e+14    7.63429e+16
           13.8    3.88582e+13    2.65316e+14    7.63031e+16
           13.9     4.2109e+13    2.67483e+14    7.62615e+16
             14    4.56193e+13    2.69644e+14    7.62182e+16
           14.1    4.94086e+13    2.71803e+14    7.61734e+16
           14.2    5.34982e+13    2.73957e+14     7.6127e+16
           14.3    5.79107e+13    2.76107e+14    7.60789e+16
           14.4    6.26705e+13    2.78253e+14    7.60294e+16
           14.5    6.78036e+13    2.80394e+14    7.59784e+16
           14.6     7.3338e+13    2.82532e+14    7.59259e+16
           14.7    7.93036e+13    2.84665e+14     7.5872e+16
           14.8    8.57323e+13    2.86794e+14    7.58168e+16
           14.9    9.26588e+13    2.88919e+14    7.57601e+16
             15    1.00119e+14     2.9104e+14    7.57021e+16
           15.1    1.08154e+14    2.93156e+14    7.56429e+16
           15.2    1.16804e+14    2.95268e+14    7.55822e+16
           15.3    1.26115e+14    2.97376e+14    7.55205e+16
           15.4    1.36135e+14     2.9948e+14    7.54574e+16
           15.5    1.46916e+14    3.01579e+14    7.53932e+16
           15.6    1.58512e+14    3.03674e+14    7.53278e+16
           15.7    1.70983e+14    3.05764e+14    7.52613e+16
           15.8    1.84391e+14    3.07851e+14    7.51937e+16
           15.9    1.98805e+14    3.09933e+14     7.5125e+16
             16    2.14295e+14     3.1201e+14    7.50552e+16
           16.1     2.3094e+14    3.14083e+14    7.49844e+16
           16.2     2.4882e+14    3.16152e+14    7.49125e+16
           16.3    2.68024e+14    3.18217e+14    7.48398e+16
           16.4    2.88646e+14    3.20277e+14    7.47659e+16
           16.5    3.10785e+14    3.22333e+14    7.46912e+16
           16.6    3.34548e+14    3.24384e+14    7.46156e+16
           16.7    3.60049e+14    3.26431e+14     7.4539e+16
           16.8    3.87409e+14    3.28473e+14    7.44616e+16
           16.9    4.16759e+14    3.30511e+14    7.43833e+16
             17    4.48236e+14    3.32545e+14    7.43041e+16
           17.1    4.81988e+14    3.34574e+14    7.42242e+16
           17.2    5.18173e+14    3.36599e+14    7.41434e+16
           17.3    5.56957e+14    3.38619e+14    7.40619e+16
           17.4    5.98519e+14    3.40635e+14    7.39796e+16
           17.5    6.43051e+14    3.42647e+14    7.38965e+16
           17.6    6.90755e+14    3.44654e+14    7.38127e+16
           17.7    7.41847e+14    3.46656e+14    7.37282e+16
           17.8    7.96557e+14    3.48654e+14     7.3643e+16
           17.9    8.55131e+14    3.50648e+14    7.35572e+16
             18    9.17829e+14    3.52637e+14    7.34706e+16
           18.1    9.84931e+14    3.54622e+14    7.33835e+16
           18.2    1.05673e+15    3.56602e+14    7.32957e+16
           18.3    1.13354e+15    3.58578e+14    7.32073e+16
           18.4    1.21571e+15    3.60549e+14    7.31183e+16
           18.5    1.30358e+15    3.62516e+14    7.30287e+16
           18.6    1.39753e+15    3.64479e+14    7.29385e+16
           18.7    1.49797e+15    3.66437e+14    7.28478e+16
           18.8    1.60533e+15     3.6839e+14    7.27565e+16
           18.9    1.72007e+15    3.70339e+14    7.26648e+16
             19    1.84266e+15    3.72284e+14    7.25725e+16
           19.1    1.97363e+15    3.74224e+14    7.24797e+16
           19.2    2.11352e+15     3.7616e+14    7.23864e+16
           19.3    2.26292e+15    3.78091e+14    7.22927e+16
           19.4    2.42244e+15    3.80018e+14    7.21984e+16
           19.5    2.59275e+15     3.8194e+14    7.21038e+16
           19.6    2.77453e+15    3.83858e+14    7.20087e+16
           19.7    2.96854e+15    3.85771e+14    7.19132e+16
           19.8    3.17556e+15    3.87681e+14    7.18173e+16
           19.9    3.39642e+15    3.89585e+14    7.17209e+16
             20    3.63202e+15    3.91485e+14    7.16242e+16
           20.1    3.88329e+15    3.93381e+14    7.15271e+16
           20.2    4.15124e+15    3.95272e+14    7.14297e+16
           20.3    4.43693e+15    3.97159e+14    7.13318e+16
           20.4    4.74148e+15    3.99042e+14    7.12337e+16
           20.5    5.06608e+15     4.0092e+14    7.11352e+16
