Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H5CH2-1+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            115     4.4538e+31    2.82359e+10    1.36356e+12
          115.5    4.96938e+31    2.84316e+10    1.36064e+12
            116    5.54278e+31    2.86276e+10    1.35773e+12
          116.5    6.18027e+31    2.88238e+10    1.35483e+12
            117    6.88877e+31    2.90202e+10    1.35196e+12
          117.5    7.67595e+31    2.92169e+10    1.34909e+12
            118    8.55027e+31    2.94139e+10    1.34624e+12
          118.5    9.52106e+31     2.9611e+10    1.34341e+12
            119    1.05986e+32    2.98084e+10    1.34059e+12
          119.5    1.17943e+32     3.0006e+10    1.33778e+12
            120    1.31208e+32    3.02039e+10    1.33499e+12
          120.5    1.45917e+32    3.04019e+10    1.33221e+12
            121    1.62224e+32    3.06002e+10    1.32945e+12
          121.5    1.80296e+32    3.07987e+10     1.3267e+12
            122    2.00319e+32    3.09975e+10    1.32396e+12
          122.5    2.22497e+32    3.11964e+10    1.32124e+12
            123    2.47053e+32    3.13956e+10    1.31853e+12
          123.5    2.74236e+32    3.15949e+10    1.31583e+12
            124    3.04317e+32    3.17945e+10    1.31314e+12
          124.5    3.37596e+32    3.19943e+10    1.31047e+12
            125      3.744e+32    3.21942e+10    1.30781e+12
          125.5    4.15093e+32    3.23944e+10    1.30517e+12
            126    4.60072e+32    3.25948e+10    1.30254e+12
          126.5    5.09773e+32    3.27954e+10    1.29991e+12
            127    5.64679e+32    3.29961e+10    1.29731e+12
          127.5    6.25315e+32    3.31971e+10    1.29471e+12
            128    6.92261e+32    3.33982e+10    1.29213e+12
          128.5    7.66154e+32    3.35995e+10    1.28956e+12
            129    8.47692e+32     3.3801e+10      1.287e+12
          129.5    9.37639e+32    3.40027e+10    1.28445e+12
            130    1.03684e+33    3.42046e+10    1.28192e+12
          130.5    1.14621e+33    3.44066e+10    1.27939e+12
            131    1.26676e+33    3.46089e+10    1.27688e+12
          131.5     1.3996e+33    3.48113e+10    1.27438e+12
            132    1.54595e+33    3.50138e+10    1.27189e+12
          132.5    1.70712e+33    3.52166e+10    1.26942e+12
            133    1.88459e+33    3.54195e+10    1.26695e+12
          133.5    2.07994e+33    3.56225e+10     1.2645e+12
            134    2.29492e+33    3.58257e+10    1.26205e+12
          134.5    2.53144e+33    3.60291e+10    1.25962e+12
            135    2.79159e+33    3.62327e+10     1.2572e+12
          135.5    3.07766e+33    3.64364e+10    1.25479e+12
            136    3.39214e+33    3.66402e+10    1.25239e+12
          136.5    3.73778e+33    3.68442e+10    1.25001e+12
            137    4.11757e+33    3.70484e+10    1.24763e+12
          137.5    4.53477e+33    3.72527e+10    1.24526e+12
            138    4.99295e+33    3.74572e+10    1.24291e+12
          138.5    5.49601e+33    3.76617e+10    1.24056e+12
            139    6.04822e+33    3.78665e+10    1.23822e+12
          139.5    6.65422e+33    3.80714e+10     1.2359e+12
            140     7.3191e+33    3.82764e+10    1.23358e+12
          140.5    8.04839e+33    3.84816e+10    1.23128e+12
            141    8.84814e+33    3.86868e+10    1.22899e+12
          141.5    9.72494e+33    3.88923e+10     1.2267e+12
            142     1.0686e+34    3.90978e+10    1.22443e+12
          142.5    1.17392e+34    3.93035e+10    1.22216e+12
            143     1.2893e+34    3.95093e+10    1.21991e+12
          143.5    1.41567e+34    3.97153e+10    1.21766e+12
            144    1.55406e+34    3.99214e+10    1.21543e+12
          144.5    1.70557e+34    4.01276e+10     1.2132e+12
            145     1.8714e+34    4.03339e+10    1.21098e+12
          145.5    2.05287e+34    4.05403e+10    1.20878e+12
            146    2.25141e+34    4.07469e+10    1.20658e+12
          146.5    2.46856e+34    4.09535e+10    1.20439e+12
            147    2.70603e+34    4.11603e+10    1.20221e+12
          147.5    2.96566e+34    4.13672e+10    1.20004e+12
            148    3.24944e+34    4.15742e+10    1.19788e+12
          148.5    3.55956e+34    4.17813e+10    1.19573e+12
            149    3.89838e+34    4.19886e+10    1.19359e+12
          149.5    4.26849e+34    4.21959e+10    1.19146e+12
            150    4.67267e+34    4.24033e+10    1.18933e+12
          150.5    5.11398e+34    4.26109e+10    1.18722e+12
            151    5.59571e+34    4.28185e+10    1.18511e+12
          151.5    6.12146e+34    4.30263e+10    1.18301e+12
            152    6.69513e+34    4.32341e+10    1.18092e+12
          152.5    7.32094e+34    4.34421e+10    1.17884e+12
            153    8.00349e+34    4.36501e+10    1.17677e+12
          153.5    8.74777e+34    4.38583e+10    1.17471e+12
            154    9.55919e+34    4.40665e+10    1.17265e+12
          154.5    1.04436e+35    4.42748e+10     1.1706e+12
            155    1.14074e+35    4.44832e+10    1.16856e+12
          155.5    1.24575e+35    4.46917e+10    1.16653e+12
            156    1.36014e+35    4.49003e+10    1.16451e+12
          156.5    1.48471e+35     4.5109e+10     1.1625e+12
            157    1.62036e+35    4.53177e+10    1.16049e+12
          157.5    1.76803e+35    4.55266e+10    1.15849e+12
            158    1.92875e+35    4.57355e+10     1.1565e+12
          158.5    2.10365e+35    4.59445e+10    1.15452e+12
            159    2.29393e+35    4.61536e+10    1.15255e+12
          159.5    2.50091e+35    4.63627e+10    1.15058e+12
