 1.0e01  2.37e03
 1.0e02  5.84e03
 1.0e03  1.69e04
 1.0e04  5.10e04

 13.76, 1.983, 14314.


 0 0 0 0 0 0 1 1 0 1
 500. 15
 1.0e-05 0.509e-04
 1.0e-04 0.244e-03
 1.0e-03 0.113e-02
 1.0e-02 0.465e-02
 1.0e-01 0.139e-01
 1.      0.248e-01
 1.0e01  0.353e-01
 1.0e02  0.487e-01
 1.0e03  0.635e-01
 1.0e04  0.736e-01
 1.0e05  0.774e-01
 1.0e06  0.781e-01
 1.0e07  0.782e-01
 1.0e08  0.782e-01
 1.0e09  0.782e-01
 600. 15
 1.0e-05 0.125e-02
 1.0e-04 0.740e-02
 1.0e-03 0.419e-01
 1.0e-02 0.216
 1.0e-01 0.822
 1.      1.74
 1.0e01  2.84
 1.0e02  4.64
 1.0e03  7.45
 1.0e04  10.5
 1.0e05  12.5
 1.0e06  13.1
 1.0e07  13.2
 1.0e08  13.2
 1.0e09  13.2
 700. 15
 1.0e-05 0.882e-02
 1.0e-04 0.597e-01
 1.0e-03 0.391
 1.0e-02 2.38 
 1.0e-01 10.8
 1.      26.4
 1.0e01  48.0
 1.0e02  90.8
 1.0e03  177.
 1.0e04  311.
 1.0e05  448.
 1.0e06  522.
 1.0e07  541.
 1.0e08  543.
 1.0e09  544.
 850. 15
 1.0e-05 0.453e-01 
 1.0e-04 0.348
 1.0e-03 2.62
 1.0e-02 18.7
 1.0e-01 102.
 1.      291.
 1.0e01  601.
 1.0e02  1.34e03
 1.0e03  3.30e03
 1.0e04  7.90e03
 1.0e05  1.59e04
 1.0e06  2.43e04
 1.0e07  2.85e04
 1.0e08  2.94e04
 1.0e09  2.95e04
 1000. 15
 1.0e-05 0.108
 1.0e-04 0.888
 1.0e-03 7.19
 1.0e-02 56.0
 1.0e-01 340.
 1.      1.07e03
 1.0e01  2.37e03
 1.0e02  5.84e03
 1.0e03  1.69e04
 1.0e04  5.10e04
 1.0e05  1.39e05
 1.0e06  2.97e05
 1.0e07  4.43e05
 1.0e08  4.98e05
 1.0e09  5.07e05

