Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H4CH3+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
             73    1.41191e+29    1.41749e+08     1.1744e+10
           73.5    1.64704e+29     1.4265e+08    1.16573e+10
             74    1.91999e+29    1.43547e+08    1.15717e+10
           74.5    2.23663e+29     1.4444e+08    1.14871e+10
             75    2.60372e+29    1.45329e+08    1.14036e+10
           75.5    3.02901e+29    1.46214e+08    1.13211e+10
             76    3.52142e+29    1.47094e+08    1.12396e+10
           76.5    4.09117e+29    1.47971e+08    1.11592e+10
             77    4.74999e+29    1.48844e+08    1.10797e+10
           77.5    5.51133e+29    1.49713e+08    1.10011e+10
             78    6.39059e+29    1.50578e+08    1.09235e+10
           78.5    7.40542e+29    1.51439e+08    1.08468e+10
             79      8.576e+29    1.52296e+08     1.0771e+10
           79.5    9.92542e+29    1.53149e+08    1.06961e+10
             80    1.14801e+30    1.53998e+08    1.06221e+10
           80.5    1.32701e+30    1.54843e+08     1.0549e+10
             81      1.533e+30    1.55685e+08    1.04767e+10
           81.5    1.76989e+30    1.56522e+08    1.04052e+10
             82    2.04218e+30    1.57356e+08    1.03345e+10
           82.5    2.35497e+30    1.58186e+08    1.02647e+10
             83    2.71409e+30    1.59012e+08    1.01956e+10
           83.5    3.12615e+30    1.59834e+08    1.01273e+10
             84    3.59871e+30    1.60653e+08    1.00598e+10
           84.5    4.14034e+30    1.61467e+08    9.99305e+09
             85    4.76082e+30    1.62278e+08    9.92704e+09
           85.5    5.47122e+30    1.63086e+08    9.86174e+09
             86    6.28415e+30    1.63889e+08    9.79717e+09
           86.5    7.21391e+30    1.64689e+08    9.73331e+09
             87    8.27673e+30    1.65485e+08    9.67014e+09
           87.5    9.49101e+30    1.66277e+08    9.60765e+09
             88    1.08776e+31    1.67066e+08    9.54584e+09
           88.5    1.24602e+31    1.67851e+08    9.48469e+09
             89    1.42656e+31    1.68632e+08    9.42419e+09
           89.5     1.6324e+31     1.6941e+08    9.36434e+09
             90    1.86698e+31    1.70184e+08    9.30512e+09
           90.5    2.13417e+31    1.70954e+08    9.24653e+09
             91    2.43837e+31    1.71721e+08    9.18854e+09
           91.5    2.78452e+31    1.72484e+08    9.13117e+09
             92    3.17822e+31    1.73244e+08    9.07438e+09
           92.5     3.6258e+31       1.74e+08    9.01819e+09
             93    4.13437e+31    1.74753e+08    8.96257e+09
           93.5    4.71199e+31    1.75502e+08    8.90752e+09
             94     5.3677e+31    1.76247e+08    8.85304e+09
           94.5    6.11174e+31     1.7699e+08     8.7991e+09
             95     6.9556e+31    1.77728e+08    8.74572e+09
           95.5    7.91225e+31    1.78463e+08    8.69286e+09
             96    8.99626e+31    1.79195e+08    8.64054e+09
           96.5     1.0224e+32    1.79924e+08    8.58874e+09
             97     1.1614e+32    1.80648e+08    8.53745e+09
           97.5     1.3187e+32     1.8137e+08    8.48667e+09
             98    1.49661e+32    1.82088e+08    8.43639e+09
           98.5    1.69777e+32    1.82803e+08    8.38661e+09
             99    1.92511e+32    1.83514e+08     8.3373e+09
           99.5    2.18192e+32    1.84222e+08    8.28848e+09
            100    2.47191e+32    1.84927e+08    8.24013e+09
          100.5    2.79921e+32    1.85629e+08    8.19224e+09
            101    3.16848e+32    1.86327e+08    8.14482e+09
          101.5    3.58493e+32    1.87022e+08    8.09785e+09
            102    4.05438e+32    1.87713e+08    8.05132e+09
          102.5    4.58336e+32    1.88401e+08    8.00523e+09
            103    5.17919e+32    1.89087e+08    7.95958e+09
          103.5    5.85004e+32    1.89768e+08    7.91436e+09
            104    6.60506e+32    1.90447e+08    7.86956e+09
          104.5    7.45445e+32    1.91123e+08    7.82518e+09
            105    8.40964e+32    1.91795e+08    7.78121e+09
          105.5    9.48339e+32    1.92464e+08    7.73765e+09
            106    1.06899e+33     1.9313e+08    7.69448e+09
          106.5    1.20452e+33    1.93793e+08    7.65172e+09
            107    1.35669e+33    1.94453e+08    7.60934e+09
          107.5    1.52749e+33    1.95109e+08    7.56735e+09
            108    1.71911e+33    1.95763e+08    7.52574e+09
          108.5    1.93402e+33    1.96413e+08     7.4845e+09
            109    2.17497e+33    1.97061e+08    7.44364e+09
          109.5      2.445e+33    1.97705e+08    7.40314e+09
            110    2.74751e+33    1.98346e+08    7.36301e+09
          110.5    3.08629e+33    1.98985e+08    7.32323e+09
            111    3.46554e+33     1.9962e+08     7.2838e+09
          111.5    3.88995e+33    2.00252e+08    7.24472e+09
            112    4.36473e+33    2.00882e+08    7.20598e+09
          112.5    4.89566e+33    2.01508e+08    7.16759e+09
            113    5.48918e+33    2.02131e+08    7.12952e+09
          113.5    6.15243e+33    2.02752e+08    7.09179e+09
            114    6.89335e+33    2.03369e+08    7.05439e+09
          114.5    7.72074e+33    2.03984e+08     7.0173e+09
