Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H4CH3+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           43.5    8.99031e+20    4.39088e+14    4.75906e+16
           43.6    9.39309e+20    4.39774e+14    4.75111e+16
           43.7    9.81333e+20    4.40458e+14    4.74318e+16
           43.8    1.02518e+21     4.4114e+14    4.73527e+16
           43.9    1.07092e+21    4.41821e+14    4.72737e+16
             44    1.11863e+21      4.425e+14    4.71949e+16
           44.1     1.1684e+21    4.43177e+14    4.71162e+16
           44.2    1.22031e+21    4.43853e+14    4.70377e+16
           44.3    1.27446e+21    4.44527e+14    4.69593e+16
           44.4    1.33093e+21      4.452e+14    4.68811e+16
           44.5    1.38982e+21    4.45871e+14    4.68031e+16
           44.6    1.45124e+21     4.4654e+14    4.67252e+16
           44.7    1.51528e+21    4.47207e+14    4.66475e+16
           44.8    1.58206e+21    4.47873e+14      4.657e+16
           44.9    1.65168e+21    4.48537e+14    4.64926e+16
             45    1.72427e+21      4.492e+14    4.64153e+16
           45.1    1.79995e+21    4.49861e+14    4.63383e+16
           45.2    1.87885e+21    4.50521e+14    4.62613e+16
           45.3    1.96109e+21    4.51178e+14    4.61846e+16
           45.4    2.04681e+21    4.51834e+14     4.6108e+16
           45.5    2.13617e+21    4.52489e+14    4.60315e+16
           45.6     2.2293e+21    4.53142e+14    4.59552e+16
           45.7    2.32635e+21    4.53793e+14    4.58791e+16
           45.8     2.4275e+21    4.54443e+14    4.58031e+16
           45.9    2.53291e+21    4.55091e+14    4.57273e+16
             46    2.64275e+21    4.55738e+14    4.56516e+16
           46.1     2.7572e+21    4.56383e+14    4.55761e+16
           46.2    2.87645e+21    4.57027e+14    4.55008e+16
           46.3    3.00069e+21    4.57668e+14    4.54256e+16
           46.4    3.13012e+21    4.58309e+14    4.53506e+16
           46.5    3.26497e+21    4.58948e+14    4.52757e+16
           46.6    3.40543e+21    4.59585e+14    4.52009e+16
           46.7    3.55175e+21     4.6022e+14    4.51264e+16
           46.8    3.70415e+21    4.60854e+14    4.50519e+16
           46.9    3.86289e+21    4.61487e+14    4.49777e+16
             47    4.02821e+21    4.62118e+14    4.49036e+16
           47.1    4.20038e+21    4.62748e+14    4.48296e+16
           47.2    4.37968e+21    4.63375e+14    4.47558e+16
