! This thermodynamic database was obtained by fitting the thermodynamic properties
! extracted from the following file: C3Mech.THERM
! The thermodynamic properties are fitted in order to preserve not only the 
! continuity of each function at the intermediate temperature, but also the  continuity
! of the derivatives, from the 1st to the 3rd order
! The intermediate temperatures are chosen in order to minimize the fitting error.
! Last update: 7/18/2025

THERMO ALL
270.   1000.   3500. 
HE                      HE  1               G    200.00   3500.00 1800.00      1
HCO                     H   1O   1C   1     G    200.00   3500.00  730.00      1
 2.61000360e+00 5.28383452e-03-2.69867301e-06 7.28246552e-10-7.56000731e-14    2
 4.11332025e+03 1.06883869e+01 4.29433010e+00-3.94535177e-03 1.62654084e-05    3
-1.65905492e-08 5.85549438e-12 3.86740858e+03 3.09256079e+00                   4
CH                      H   1C   1          G    200.00   3500.00 1750.00      1
 2.02819027e+00 2.57901063e-03-9.49619260e-07 1.85946573e-10-1.53830660e-14    2
 7.11777581e+04 1.02102444e+01 3.68277953e+00-1.20290767e-03 2.29202500e-06    3
-1.04896552e-09 1.61032948e-13 7.05986518e+04 1.30187345e+00                   4
CH2O                    H   2O   1C   1     G    200.00   3500.00  700.00      1
 1.28512882e+00 1.02098737e-02-5.22831786e-06 1.28743337e-09-1.23529470e-13    2
-1.38940654e+04 1.62446530e+01 4.68045631e+00-9.19199772e-03 3.63471208e-05    3
-3.83082225e-08 1.40177762e-11-1.43694112e+04 1.07518882e+00                   4
C2H2                    H   2C   2          G    200.00   3500.00  790.00      1
 4.37142970e+00 5.47497443e-03-2.03418806e-06 3.75840397e-10-2.78044036e-14    2
 2.58630711e+04-2.43168696e+00 7.78023319e-01 2.36694371e-02-3.65806362e-05    3
 2.95289612e-08-9.25347553e-12 2.64308293e+04 1.40573755e+01                   4
C2H4                    H   4C   2          G    200.00   3500.00  700.00      1
 1.97406737e-01 1.83305727e-02-9.61719866e-06 2.44374075e-09-2.41000872e-13    2
 5.48552768e+03 2.01697768e+01 2.51584115e+00 5.08237606e-03 1.87717942e-05    3
-2.45933953e-08 9.41511914e-12 5.16094686e+03 9.81159844e+00                   4
C3H3                    C   3H   3          G    200.00   3500.00  800.00      1
 5.66150987e+00 1.07691186e-02-5.00217340e-06 1.14263012e-09-1.03952935e-13    2
 4.00841101e+04-4.56754833e+00 1.43214126e+00 3.19159617e-02-4.46525041e-05    3
 3.41845724e-08-1.04295599e-11 4.07608091e+04 1.48929541e+01                   4
CHV                     C   1H   1          G    300.00   3500.00 1800.00      1
 2.64390862e+00 1.35346423e-03-3.74238223e-08-8.64578518e-11 1.29563340e-14    2
 1.04241589e+05 6.81004597e+00 3.54583928e+00-6.50826128e-04 1.63281815e-06    3
-7.05065988e-10 9.88741307e-14 1.03916894e+05 1.92860907e+00                   4
C                       C   1               G    200.00   3500.00  700.00      1
 2.49472531e+00 3.92839477e-05-6.70014981e-08 3.71818695e-11-5.07306886e-15    2
 8.54504422e+04 4.79314254e+00 2.54495192e+00-2.47725282e-04 5.48018279e-07    3
-5.48551252e-10 2.04117332e-13 8.54434105e+04 4.56874273e+00                   4
OHV                     H   1O   1          G    300.00   3500.00  880.00      1
 3.62538436e+00-5.02165283e-04 8.36958464e-07-2.95714531e-10 3.30350487e-14    2
 5.00368512e+04 1.52903083e+00 3.37995109e+00 6.13440533e-04-1.06464236e-06    3
 1.14489215e-09-3.76228214e-13 5.00800475e+04 2.68172997e+00                   4
CH3O                    H   3O   1C   1     G    200.00   3500.00  700.00      1
 1.28517173e+00 1.50203914e-02-8.42088090e-06 2.23518673e-09-2.26617344e-13    2
 1.55626359e+03 1.67498282e+01 2.33520563e+00 9.02019770e-03 4.43667709e-06    3
-1.00101066e-08 4.14670170e-12 1.40925884e+03 1.20585424e+01                   4
CH2O2H                  H   3O   2C   1     G    300.00   3500.00 1510.00      1
